symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
BLSE,0.522,B,325.55,307.77,376.17,450.0,525.0,575.0
NSLNISP,0.4776,B,53.86,52.21,59.5,70.0,75.0,85.0
HAPPSTMNDS,0.4685,B,427.3,403.69,452.17,490.0,525.0,557.16
POONAWALLA,0.4663,B,512.92,489.19,553.91,625.0,675.0,725.0
IFGLEXPOR,0.454,B,248.4,229.64,283.28,330.0,380.0,420.0
ETERNAL,0.4511,B,325.65,313.0,353.19,390.0,430.0,460.0
ENGINERSIN,0.4344,C,267.53,256.16,291.87,330.0,360.0,390.0
GIPCL,0.4304,C,181.76,174.9,198.49,220.0,250.0,260.0
CPCAP,0.4277,C,142.28,130.92,160.91,190.0,220.0,230.0
GUFICBIO,0.4196,C,448.9,426.9,496.5,575.0,625.0,675.0
BALUFORGE,0.4156,C,571.04,542.85,621.33,700.0,775.0,825.0
FINKURVE,0.4002,C,75.54,69.37,82.98,95.0,110.0,120.0
DECNGOLD,0.3854,C,,,,,,
BHAGCHEM,0.3717,C,317.53,296.02,357.32,410.0,470.0,525.0
PETRONET,0.3632,C,294.69,285.15,310.67,340.0,360.0,370.0
HMAAGRO,0.348,C,27.05,24.93,29.17,35.0,40.0,45.0
DALMIASUG,0.3432,C,442.63,405.6,482.49,550.0,600.0,650.0
JINDALSAW,0.343,C,281.56,270.55,309.65,350.0,390.0,420.0
ANDHRSUGAR,0.3354,C,107.44,101.06,118.25,140.0,150.0,160.0
BTML,0.3348,C,9.17,8.16,10.28,15.0,20.0,25.0
DBOL,0.3304,C,130.99,122.24,140.71,160.0,170.0,180.0
BECTORFOOD,0.3276,C,246.9,232.65,269.04,300.0,330.0,360.0
SBFC,0.3155,C,103.43,100.72,109.85,120.0,130.0,140.0
AMBALALSA,0.3132,C,,,,,,
IOLCP,0.3132,C,179.96,167.24,209.47,250.0,290.0,320.0
BEPL,0.3,C,138.78,132.76,154.31,180.0,200.0,220.0
BAJAJHCARE,0.3,C,394.79,380.82,427.88,470.0,525.0,550.0
