symbol,probability,grade,entry_trigger,stop_loss,target_1,target_2,target_3,target_4
ELLEN,0.532,B,324.45,301.67,364.92,420,480,525
JSWINFRA,0.5268,B,356.51,340.73,389.8,440,480,525
AYMSYNTEX,0.4441,C,281.78,259.38,312.21,360,400,430
BAJEL,0.4361,C,215.93,206.15,237.8,270,300,320
ETERNAL,0.4143,C,320.34,306.27,346.71,390,420,450
TATACAP,0.3903,C,390.98,374.23,416.6,450,490,525
TMPV,0.3715,C,408.82,397.92,439.75,480,525,575
SBFC,0.348,C,103.43,100.28,109.85,120,130,140
EUREKAFORB,0.348,C,542.83,519.39,575.59,625,675,700
ESTER,0.3462,C,108.12,101.41,118.82,140,150,160
GSFC,0.3437,C,180.95,176.24,192.31,210,230,240
INDORAMA,0.3348,C,66.58,60.66,76.77,90,110,120
THELEELA,0.3348,C,528.05,499.93,566.65,625,675,725
DALMIASUG,0.3346,C,429.61,396.68,466.53,525,575,625
PINELABS,0.3342,C,214.6,202.15,236.21,270,300,320
GKSL,0.3306,C,148.64,143.27,161.67,180,200,210
MAHABANK,0.3292,C,94.69,91.96,103.79,120,130,140
GUJENERGY,0.324,C,424.75,411.05,468.99,550,600,650
ASIANENE,0.3132,C,420.84,393.77,471.64,550,625,675
IFGLEXPOR,0.3132,C,248.4,230.23,283.28,330,380,420
IOLCP,0.2916,C,179.96,168.49,210.32,250,300,330
